person,n00007846
tusker,n01871265
monotreme,n01871875
echidna,n01872401
platypus,n01873310
marsupial,n01874434
opossum_rat,n01876034
bandicoot,n01876326
kangaroo,n01877134
wallaby,n01877812
pademelon,n01879217
potoroo,n01880473
bettong,n01880716
phalanger,n01881171
cuscus,n01881564
koala,n01882714
wombat,n01883070
thylacine,n01884476
numbat,n01885498
placental,n01886756
livestock,n01887474
cow,n02403454
calf,n01887896
insectivore,n01889074
mole,n01889520
common_shrew,n01892030
tenrec,n01894207
polyp,n01909906
jellyfish,n01910747
sea_anemone,n01914609
sea_pen,n01915700
coral,n01915811
sea_fan,n01916481
brain_coral,n01917289
staghorn_coral,n01917611
mushroom_coral,n01917882
worm,n01922303
flatworm,n01924916
nematode,n01930112
earthworm,n01935395
conch,n01943899
snail,n01944390
slug,n01945685
sea_slug,n01950731
cowrie,n01953361
chiton,n01955084
clam,n01956481
razor_clam,n01959029
mussel,n01963571
chambered_nautilus,n01968897
Dungeness_crab,n01978287
rock_crab,n01978455
swimming_crab,n01978930
American_lady_crab,n01979526
fiddler_crab,n01980166
king_crab,n01981276
American_lobster,n01983481
spiny_lobster,n01984695
crayfish,n01985128
hermit_crab,n01986214
shrimp,n01986806
isopod,n01990800
barnacle,n01998183
wading_bird,n02000954
white_stork,n02002556
black_stork,n02002724
spoonbill,n02006656
flamingo,n02007558
little_blue_heron,n02009229
snowy_egret,n02009380
American_egret,n02009912
night_heron,n02010453
black-crowned_night_heron,n02010728
bittern,n02011460
American_bittern,n02011805
crane,n03126707
whooping_crane,n02013177
limpkin,n02013706
rail,n04046590
weka,n02015357
corncrake,n02015797
European_gallinule,n02017213
American_coot,n02018207
bustard,n02018795
shorebird,n02022684
ruddy_turnstone,n02025239
red-backed_sandpiper,n02027492
redshank,n02028035
snipe,n02031934
dowitcher,n02033041
oystercatcher,n02037110
gull,n02041246
loon,n02049088
pelican,n02051845
penguin,n02055803
king_penguin,n02056570
albatross,n02058221
cetacean,n02062430
whale,n02062744
bowhead,n02064000
rorqual,n02064338
finback,n02065026
grey_whale,n02066245
dolphin,n02068974
porpoise,n02070430
vaquita,n02070776
killer_whale,n02071294
pilot_whale,n02071636
river_dolphin,n02072040
narwhal,n02072493
sea_cow,n02073250
manatee,n02073831
dugong,n02074367
Steller's_sea_cow,n02074726
carnivore,n02075296
seal,n02076196
sea_lion,n02077923
elephant_seal,n02080415
walrus,n02081571
Pacific_walrus,n02081927
aardvark,n02082791
dog,n02084071
pooch,n02084732
cur,n02084861
feist,n02085019
pariah_dog,n02085118
lapdog,n02085272
toy_dog,n02085374
Chihuahua,n02085620
Japanese_spaniel,n02085782
Maltese_dog,n02085936
Pekinese,n02086079
Shih-Tzu,n02086240
toy_spaniel,n02086346
English_toy_spaniel,n02086478
Blenheim_spaniel,n02086646
King_Charles_spaniel,n02086753
papillon,n02086910
toy_terrier,n02087046
courser,n02087314
Rhodesian_ridgeback,n02087394
hound,n02087551
Afghan_hound,n02088094
basset,n02088238
beagle,n02088364
bloodhound,n02088466
bluetick,n02088632
coonhound,n02088839
coondog,n02088992
black-and-tan_coonhound,n02089078
dachshund,n02089232
sausage_dog,n02089468
foxhound,n02089555
American_foxhound,n02089725
Walker_hound,n02089867
English_foxhound,n02089973
harrier,n02090129
redbone,n02090379
wolfhound,n02090475
borzoi,n02090622
Irish_wolfhound,n02090721
greyhound,n02090827
Italian_greyhound,n02091032
whippet,n02091134
Ibizan_hound,n02091244
Norwegian_elkhound,n02091467
otterhound,n02091635
Saluki,n02091831
Scottish_deerhound,n02092002
staghound,n02092173
Weimaraner,n02092339
terrier,n02092468
bullterrier,n02093056
Staffordshire_bullterrier,n02093256
American_Staffordshire_terrier,n02093428
Bedlington_terrier,n02093647
Border_terrier,n02093754
Kerry_blue_terrier,n02093859
Irish_terrier,n02093991
Norfolk_terrier,n02094114
Norwich_terrier,n02094258
Yorkshire_terrier,n02094433
toy_Manchester,n02094931
smooth-haired_fox_terrier,n02095212
wire-haired_fox_terrier,n02095314
wirehair,n02095412
Lakeland_terrier,n02095570
Sealyham_terrier,n02095889
Airedale,n02096051
cairn,n02096177
Australian_terrier,n02096294
Dandie_Dinmont,n02096437
Boston_bull,n02096585
schnauzer,n02096756
miniature_schnauzer,n02097047
giant_schnauzer,n02097130
standard_schnauzer,n02097209
Scotch_terrier,n02097298
Tibetan_terrier,n02097474
silky_terrier,n02097658
soft-coated_wheaten_terrier,n02098105
West_Highland_white_terrier,n02098286
Lhasa,n02098413
bird_dog,n02098806
water_dog,n02098906
retriever,n02099029
flat-coated_retriever,n02099267
curly-coated_retriever,n02099429
golden_retriever,n02099601
Labrador_retriever,n02099712
Chesapeake_Bay_retriever,n02099849
German_short-haired_pointer,n02100236
vizsla,n02100583
English_setter,n02100735
Irish_setter,n02100877
Gordon_setter,n02101006
spaniel,n02101108
Brittany_spaniel,n02101388
clumber,n02101556
field_spaniel,n02101670
English_springer,n02102040
Welsh_springer_spaniel,n02102177
cocker_spaniel,n02102318
Sussex_spaniel,n02102480
Irish_water_spaniel,n02102973
griffon,n02112497
working_dog,n02103406
kuvasz,n02104029
attack_dog,n02104184
housedog,n02104280
schipperke,n02104365
shepherd_dog,n02104523
groenendael,n02105056
malinois,n02105162
briard,n02105251
kelpie,n02105412
komondor,n02105505
Old_English_sheepdog,n02105641
Shetland_sheepdog,n02105855
collie,n02106030
Border_collie,n02106166
Bouvier_des_Flandres,n02106382
Rottweiler,n02106550
German_shepherd,n02106662
police_dog,n02106854
pinscher,n02106966
Doberman,n02107142
miniature_pinscher,n02107312
Greater_Swiss_Mountain_dog,n02107574
Bernese_mountain_dog,n02107683
Appenzeller,n02107908
EntleBucher,n02108000
boxer,n02108089
mastiff,n02108254
bull_mastiff,n02108422
Tibetan_mastiff,n02108551
bulldog,n02108672
French_bulldog,n02108915
Great_Dane,n02109047
guide_dog,n02109150
Seeing_Eye_dog,n02109256
Saint_Bernard,n02109525
Eskimo_dog,n02109961
malamute,n02110063
Siberian_husky,n02110185
dalmatian,n02110341
affenpinscher,n02110627
basenji,n02110806
pug,n02110958
Leonberg,n02111129
Newfoundland,n02111277
Great_Pyrenees,n02111500
spitz,n02111626
Samoyed,n02111889
Pomeranian,n02112018
chow,n02112137
keeshond,n02112350
Brabancon_griffon,n02112706
corgi,n02112826
Pembroke,n02113023
Cardigan,n02113186
poodle,n02113335
toy_poodle,n02113624
miniature_poodle,n02113712
standard_poodle,n02113799
large_poodle,n02113892
Mexican_hairless,n02113978
wolf,n02114100
timber_wolf,n02114367
white_wolf,n02114548
red_wolf,n02114712
coyote,n02114855
coydog,n02115012
jackal,n02115096
dingo,n02115641
dhole,n02115913
crab-eating_dog,n02116185
raccoon_dog,n02116450
African_hunting_dog,n02116738
hyena,n02117135
aardwolf,n02118176
fox,n02118333
red_fox,n02119022
kit_fox,n02119789
Arctic_fox,n02120079
grey_fox,n02120505
feline,n02120997
cat,n02121620
mouser,n02122430
tabby,n02123045
tiger_cat,n02123159
Persian_cat,n02123394
Siamese_cat,n02123597
Egyptian_cat,n02124075
sand_cat,n02125010
cougar,n02125311
jaguarundi,n02125689
serval,n02126139
margay,n02126640
manul,n02126787
lynx,n02127052
bobcat,n02127482
caracal,n02127678
leopard,n02128385
leopardess,n02128598
snow_leopard,n02128757
jaguar,n02128925
lion,n02129165
lionet,n02129530
tiger,n02129604
tigress,n02129923
liger,n02129991
tiglon,n02130086
cheetah,n02130308
bear,n02131653
brown_bear,n02132136
grizzly,n02132580
American_black_bear,n02133161
ice_bear,n02134084
sloth_bear,n02134418
civet,n02135220
binturong,n02136103
fanaloka,n02136794
mongoose,n02137549
ichneumon,n02137888
palm_cat,n02138169
meerkat,n02138441
suricate,n02138777
bat,n02139199
macrotus,n02142407
serotine,n02147328
pipistrelle,n02147947
freetail,n02149420
predator,n02152740
prey,n02152881
game_bird,n02153203
insect,n02159955
hanging_fly,n02163008
tiger_beetle,n02165105
ladybug,n02165456
ground_beetle,n02167151
long-horned_beetle,n02168699
leaf_beetle,n02169497
carpet_beetle,n02170400
dung_beetle,n02172182
rhinoceros_beetle,n02174001
elaterid_beetle,n02176261
weevil,n02177972
fly,n02190166
apple_maggot,n02196896
mosquito,n02200198
crane_fly,n02205219
bee,n02206856
leaf-cutting_bee,n02211444
ant,n02219486
army_ant,n02220518
grasshopper,n02226429
cricket,n02229544
snowy_tree_cricket,n02230634
walking_stick,n02231487
cockroach,n02233338
mantis,n02236044
water_strider,n02243562
common_pond-skater,n02243878
conenose,n02244515
greenhouse_whitefly,n02247216
cicada,n02256656
leafhopper,n02259212
mayfly,n02262449
lacewing,n02264363
dragonfly,n02268443
damselfly,n02268853
silverfish,n02270623
butterfly,n02274259
nymphalid,n02274822
admiral,n02276258
ringlet,n02277742
monarch,n02279972
cabbage_butterfly,n02280649
small_white,n02281015
large_white,n02281136
sulphur_butterfly,n02281406
lycaenid,n02281787
moth,n02283201
death's-head_moth,n02299846
bryozoan,n02313709
starfish,n02317335
basket_star,n02318167
sea_urchin,n02319095
sand_dollar,n02319555
sea_cucumber,n02321529
lagomorph,n02323449
leporid,n02323902
rabbit,n02324045
wood_rabbit,n02325366
hare,n02326432
leveret,n02326763
jackrabbit,n02327028
Angora,n02328150
pika,n02328429
rodent,n02329401
mouse,n03793489
rat,n02331046
house_mouse,n02332156
field_mouse,n02332755
sewer_rat,n02333819
black_rat,n02333909
wood_mouse,n02336641
vole,n02339376
hamster,n02342885
gerbil,n02343772
jird,n02344175
lemming,n02344528
porcupine,n02346627
pocket_mouse,n02348788
jumping_mouse,n02350989
jerboa,n02351870
dormouse,n02352591
loir,n02352932
lerot,n02353411
squirrel,n02355227
fox_squirrel,n02356798
chickeree,n02357585
ground_squirrel,n02358091
suslik,n02358584
flickertail,n02358712
eastern_chipmunk,n02359915
chipmunk,n02360282
marmot,n02361337
groundhog,n02361587
beaver,n02363005
cavy,n02364520
guinea_pig,n02364673
aperea,n02364840
agouti,n02366002
coypu,n02366959
viscacha,n02368116
abrocome,n02368399
ungulate,n02370806
hyrax,n02372584
odd-toed_ungulate,n02373336
horse,n03538037
roan,n02375302
stablemate,n02375438
male_horse,n02376918
stallion,n02377181
gelding,n02377388
mare,n02377480
broodmare,n02377603
saddle_horse,n02377703
warhorse,n02378415
charger,n02378625
steed,n02378755
cow_pony,n02379081
Appaloosa,n02379743
pony,n02382437
mustang,n02380583
bronco,n02380745
buckskin,n02381004
dun,n02381261
wild_horse,n02381460
tarpan,n02381609
cayuse,n02382039
thoroughbred,n02383231
steeplechaser,n02384741
workhorse,n02386310
packhorse,n02386746
carthorse,n02386853
post_horse,n02387722
pacer,n02388143
pole_horse,n02388453
chestnut,n07772274
sorrel,n02389026
palomino,n02389128
pinto,n02389261
burro,n02389779
jennet,n02390015
mule,n02390101
hinny,n02390258
kiang,n02390738
chigetai,n02390938
zebra,n02391049
quagga,n02391617
rhinoceros,n02391994
tapir,n02393580
swine,n02395003
hog,n02395406
porker,n02395931
sow,n02396088
wild_boar,n02396427
babirusa,n02396796
warthog,n02397096
peccary,n02397529
hippopotamus,n02398521
ruminant,n02399000
bovid,n02401031
bovine,n02402010
cattle,n02402425
ox,n02403003
bull,n02403325
heifer,n02403740
bullock,n02403820
beef,n02404186
longhorn,n02404432
zebu,n02404906
banteng,n02405440
dairy_cattle,n02406174
cattalo,n02407763
water_buffalo,n02408429
carabao,n02408817
anoa,n02409038
gaur,n02410011
bison,n02410509
wisent,n02410900
sheep,n02411705
ewe,n02411999
ram,n02412080
wether,n02412210
lamb,n02412440
black_sheep,n02413050
domestic_sheep,n02413131
longwool,n02414209
merino,n02414290
wild_sheep,n02414578
argali,n02414763
urial,n02415130
Dall_sheep,n02415253
mountain_sheep,n02415435
bighorn,n02415577
mouflon,n02415829
aoudad,n02416104
goat,n02416519
kid,n02416820
markhor,n02417785
ibex,n02417914
mountain_goat,n02418465
goral,n02418770
serow,n02419056
takin,n02419634
antelope,n02419796
blackbuck,n02420509
gerenuk,n02420828
addax,n02421136
gnu,n02421449
dik-dik,n02421792
hartebeest,n02422106
sassaby,n02422391
impala,n02422699
gazelle,n02423022
springbok,n02423589
kudu,n02424305
bushbuck,n02425228
nilgai,n02425532
saiga,n02426176
steenbok,n02426481
eland,n02426813
kob,n02427470
lechwe,n02427576
waterbuck,n02427724
puku,n02428089
oryx,n02428349
gemsbok,n02428508
pronghorn,n02429456
deer,n02430045
hart,n02431337
hind,n02431441
sambar,n02431628
wapiti,n02431785
elk,n02432983
roebuck,n02433729
caribou,n02433925
muntjac,n02434954
chevrotain,n02435853
napu,n02436353
camel,n02437136
Arabian_camel,n02437312
llama,n02437616
guanaco,n02438173
giraffe,n02439033
okapi,n02439398
weasel,n02441942
stoat,n02442336
mink,n02442845
polecat,n02443114
black-footed_ferret,n02443484
otter,n02444819
river_otter,n02445004
skunk,n02445715
badger,n02447366
ratel,n02448318
marten,n02450034
tayra,n02451415
pachyderm,n02453108
armadillo,n02454379
apar,n02455135
tatouay,n02455428
peludo,n02455720
pichiciago,n02456275
three-toed_sloth,n02457408
ant_bear,n02460451
tamandua,n02461128
pangolin,n02461830
simian,n02470238
ape,n02470325
hominid,n02471762
homo,n02472293
world,n02472987
australopithecine,n02476219
orangutan,n02480495
gorilla,n02480855
silverback,n02481500
chimpanzee,n02481823
central_chimpanzee,n02482474
gibbon,n02483362
siamang,n02483708
monkey,n02484322
Old_World_monkey,n02484473
guenon,n02484975
grivet,n02485371
vervet,n02485536
green_monkey,n02485688
patas,n02486261
baboon,n02486410
chacma,n02486657
mandrill,n02486908
macaque,n02487347
rhesus,n02487547
langur,n02488291
entellus,n02488415
colobus,n02488702
guereza,n02488894
proboscis_monkey,n02489166
New_World_monkey,n02489589
marmoset,n02490219
tamarin,n02491107
pinche,n02491474
capuchin,n02492035
douroucouli,n02492356
howler_monkey,n02492660
uakari,n02493224
titi,n02493509
spider_monkey,n02493793
squirrel_monkey,n02494079
prosimian,n02496052
lemur,n02496913
Madagascar_cat,n02497673
aye-aye,n02498153
galago,n02499808
indri,n02500267
tarsier,n02501583
proboscidean,n02503127
elephant,n02503517
Indian_elephant,n02504013
African_elephant,n02504458
mammoth,n02504770
raccoon,n02508021
bassarisk,n02508742
kinkajou,n02509197
coati,n02509515
lesser_panda,n02509815
giant_panda,n02510455
fish,n02512053
game_fish,n02512830
food_fish,n02512938
rough_fish,n02513248
young_fish,n02513560
barracouta,n02514041
eel,n02526121
river_shad,n02530831
salmon,n02534734
landlocked_salmon,n02535759
coho,n02536864
rainbow_trout,n02537525
lake_trout,n02538010
lake_whitefish,n02539424
argentine,n02542958
toadfish,n02548689
rock_bass,n02564403
rock_sea_bass,n02567633
striped_bass,n02568087
stone_bass,n02568447
dolphinfish,n02581957
butterfly_fish,n02605316
rock_beauty,n02606052
anemone_fish,n02607072
sergeant_major,n02607470
puddingwife,n02608996
striped_marlin,n02631628
sturgeon,n02640242
gar,n02641379
lionfish,n02643566
puffer,n02655020
ocean_sunfish,n02656670
abacus,n02666196
abaya,n02667093
abbey,n02667379
academic_gown,n02669723
accordion,n02672831
acoustic_guitar,n02676566
acropolis,n02676938
adjustable_wrench,n02680754
adobe,n02681392
airbus,n02686121
aircraft,n02686568
aircraft_carrier,n02687172
aircraft_engine,n02687423
air_cushion,n02687682
airdock,n02687821
airfield,n02687992
air_filter,n02688273
air_gun,n02689274
airliner,n02690373
airplane,n02691156
airplane_propeller,n02692086
airport,n02692232
airship,n02692877
air_terminal,n02693246
aisle,n02694045
alarm,n02694426
alarm_clock,n02694662
altar,n02699629
altarpiece,n02699770
ambulance,n02701002
American_organ,n02701730
amphibian,n02704792
analog_clock,n02708093
anchor_chain,n02709637
anchor_light,n02709763
AND_circuit,n02709908
andiron,n02710044
anteroom,n02715513
apartment,n02726305
apiary,n02727426
apparatus,n02727825
apparel,n02728440
appliance,n02729965
apron,n02730930
aqualung,n02731629
aquarium,n02732072
arcade,n02733213
arch,n02733524
arch_support,n02735268
armchair,n02738535
arrow,n02742753
ashcan,n02747177
ashtray,n02747802
assault_rifle,n02749479
attic,n02755823
attic_fan,n02755984
attire,n02756098
autogiro,n02759387
automaton,n02761392
automobile_horn,n02761834
autopilot,n02762169
auxiliary_boiler,n02762725
auxiliary_engine,n02762909
auxiliary_storage,n02763306
awning,n02763901
ax,n02764044
baby_bed,n02766320
baby_buggy,n02766534
baby_grand,n02766792
baby_shoe,n02767147
back,n02767665
backboard,n02768226
background,n02769075
backpack,n02769748
back_porch,n02770211
backsaw,n02770585
badminton_racket,n02772700
bag,n02774152
baggage,n02774921
baggage_car,n02775039
baggage_claim,n02775178
bakery,n02776631
balance_beam,n02777292
balcony,n02777734
bale,n02778456
balloon,n02782093
balloon_sail,n02782602
ballpoint,n02783161
Band_Aid,n02786058
banjo,n02787622
banner,n02788021
bannister,n02788148
baptismal_font,n02788572
bar,n02789487
barbecue,n07654148
barbell,n02790996
barber_chair,n02791124
barbershop,n02791270
barn,n02793495
barometer,n02794156
barrage_balloon,n02794972
barrel,n02795169
barrel_vault,n02796207
barroom,n02796995
barrow,n02797295
base,n02797692
baseball_glove,n02800213
basement,n02800497
basket,n02802215
basketball_court,n02802544
basset_horn,n02803809
bass_fiddle,n02803934
bass_guitar,n02804123
bassinet,n02804414
bassoon,n02804610
bathing_cap,n02807133
bath_oil,n02807523
bathrobe,n02807616
bathroom,n02807731
bath_towel,n02808304
bathtub,n02808440
battery,n02810471
beach_towel,n02814428
beach_wagon,n02814533
beacon,n02814860
beaker,n02815834
beam,n02815950
bearskin,n02817516
bed,n02818832
bedclothes,n02820210
bedroom,n02821627
bedroom_furniture,n02821943
bedspread,n02822220
beer_barrel,n02823335
beer_bottle,n02823428
beer_can,n02823510
beer_glass,n02823750
beer_mug,n02824058
bell,n02824448
bellbottom_trousers,n02825442
bell_cote,n02825657
bell_jar,n02826068
bell_tower,n02826886
belt,n02827606
bench,n02828884
bench_press,n02829596
berth,n02831724
bib,n02834397
bicycle,n02834778
bicycle-built-for-two,n02835271
bicycle_chain,n02835412
bicycle_seat,n02835915
bicycle_wheel,n02836035
bidet,n02836174
bikini,n02837789
billiard_ball,n02839351
billiard_room,n02839592
bin,n02839910
binder,n02840245
binding,n02840619
bin_liner,n02841063
binoculars,n02841315
biplane,n02842573
birdhouse,n02843684
blackboard,n02846511
blackboard_eraser,n02846619
blade,n02848216
blank,n02848921
blanket,n02849154
blender,n02850732
blimp,n02850950
blind,n02851099
blue_chip,n02856013
boards,n02857907
boat,n02858304
boater,n02859184
boat_hook,n02859343
boathouse,n02859443
bobbin,n02860415
bobsled,n02860847
bolo_tie,n02865351
bolt,n02865665
bomb,n02866578
bomber,n07697825
bone_china,n02869155
bones,n02869249
boneshaker,n02869563
bonnet,n02869837
book,n07954211
book_bag,n02870676
bookcase,n02870880
bookshelf,n02871439
bookshop,n02871525
boom,n02871824
boomerang,n02871963
boot,n02873520
boot_camp,n02873623
booth,n02874214
bottle,n02876657
bottlecap,n02877765
bottle_opener,n02877962
bottom,n02878222
bouquet,n02879087
boutique,n02879309
bow,n02879718
bowl,n02881193
bowling_alley,n02882190
bowling_ball,n02882301
bowling_equipment,n02882483
bowling_pin,n02882647
bowling_shoe,n02882894
bow_tie,n02883205
box,n02884450
box_beam,n02884859
box_office,n02885882
box_wrench,n02886434
brace,n02887489
brake,n02889425
brake_pedal,n02890804
brass,n02892201
brassiere,n02892767
breakwater,n02894605
breastplate,n02895154
brick,n02897820
brick_trowel,n02898269
bridal_gown,n02898585
bridge,n02899439
bristle_brush,n02902687
broom,n02906734
Browning_automatic_rifle,n02907391
brush,n02908217
Brussels_carpet,n02908773
bucket,n02909870
bucket_seat,n02910145
buckle,n02910353
buffet,n07576182
buggy,n02912557
building,n02913152
building_complex,n02914991
bulldozer,n02916179
bullet,n02916350
bulletproof_vest,n02916936
bullet_train,n02917067
bumper_car,n02918964
bundle,n02919414
bungalow,n02919792
bunk,n02920164
bunk_bed,n02920259
bunker,n02920369
bunsen_burner,n02921029
burglar_alarm,n02921756
burner,n02923129
bus,n02924116
bush_jacket,n02925385
buskin,n02925666
butcher_shop,n02927161
butter_dish,n02927764
button,n02928608
buttress,n02929289
cab,n02930766
cabaret,n02931417
cabin,n02932400
cabin_car,n02932523
cabin_class,n02932693
cabin_cruiser,n02932891
cabinet,n02933340
cable_car,n02934451
cafe,n02935658
cage,n02936714
caldron,n02939185
camcorder,n02942349
camera,n02942699
camera_tripod,n02943871
camp,n02945813
camper,n09889941
can,n02946921
candelabrum,n02947818
candle,n02948072
candlestick,n02948557
cane,n02949202
canister,n02949542
cannon,n02950826
canoe,n02951358
can_opener,n02951585
canopic_jar,n02951703
canopy,n02952237
canteen,n02952374
canvas,n02953673
canvas_tent,n02954163
cap,n02955065
cap_opener,n02956795
car,n02960352
caravansary,n02961035
cardigan,n02963159
card_index,n02963302
car_door,n02963821
card_table,n02964196
cargo_area,n02964634
car_mirror,n02965783
carousel,n02966193
carpenter's_kit,n02966687
carrel,n02968333
car_seat,n02970685
cart,n02970849
car_tire,n02971167
carton,n02971356
car_train,n02971579
cartridge_extractor,n02972714
cartwheel,n02973236
carving_knife,n02973904
car_wheel,n02974003
caryatid,n02974348
case,n02975212
case_knife,n02976249
cash_bar,n02976815
cash_machine,n02977058
cash_register,n02977438
cassette,n02978881
cassette_player,n02979186
cast,n02979836
castle,n02980441
catamaran,n02981792
cathedral,n02984061
CD_player,n02988304
ceiling,n02990373
cell,n02991302
cello,n02992211
cellular_telephone,n02992529
cenotaph,n02993194
center,n02993546
centrifuge,n02995998
ceramic,n02997391
ceramic_ware,n02997607
cesspool,n02998563
chain,n02999410
chainlink_fence,n03000134
chain_mail,n03000247
chain_saw,n03000684
chair,n03002096
chalk,n03003091
chamberpot,n03004275
checkout,n03011741
cheeseboard,n03012159
chemical_plant,n03012897
chemise,n03013580
chessman,n03014440
chest,n03014705
chest_of_drawers,n03015254
chicken_yard,n03016737
chiffonier,n03016953
chime,n03017168
chimney_breast,n03017698
chimney_corner,n03017835
china,n03018209
china_cabinet,n03018349
Chinese_lantern,n03018712
chip,n07712559
chisel,n03020692
chopine,n03025250
Christmas_stocking,n03026506
church,n03028079
church_bell,n03028596
church_hat,n03028785
church_tower,n03029197
cinema,n03032252
circuit_board,n03033986
circular_saw,n03034663
circus_tent,n03035252
cistern,n03035715
city_hall,n03036022
city_university,n03036244
civilian_clothing,n03036469
classroom,n03038685
claymore,n03039493
cleaver,n03041632
cliff_dwelling,n03042490
clipper,n03044934
cloak,n03045698
clock,n03046257
clock_radio,n03046921
clog,n03047690
closet,n03049457
cloth_cap,n03049924
clothes_closet,n03050546
clothes_tree,n03051396
clothing_store,n03052464
coach,n03055670
coat,n03057021
coat_hanger,n03057920
coating,n03058107
cocktail_shaker,n03062245
coffee_can,n03062985
coffee_cup,n03063073
coffee_mug,n03063599
coffeepot,n03063689
coffee_table,n03063968
coffin,n03064758
coil,n03065424
cold_chisel,n03067212
cold_cream,n03067339
cold_frame,n03067518
collar,n03068998
colonnade,n03071160
color_television,n03072201
column,n03074380
